,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
127,Mrs. GREEN APPLE,ニュー・マイ・ノーマル,12fFNgW4IoYQdRCfqCPk9d,64,0.404,0.832,1,-2.87,1,0.0541,0.0032,0.0,0.0805,0.603,172.98,244338,4
128,THE YELLOW MONKEY,ロザーナ - 2022 Remaster,6qwZp2eQZhYXNwtqSMG9Qw,19,0.558,0.886,11,-3.957,0,0.035,0.000167,0.0,0.0852,0.732,131.052,286053,4
129,THE YELLOW MONKEY,I don't know - 2022 Remaster,4XUbjlw6nfC6nhrGPoiozl,19,0.535,0.8,5,-4.952,1,0.0369,0.00496,4.01e-06,0.123,0.643,125.993,275013,4
130,WANIMA,眩光,0Imzg052WsTbxUNDMnZhmp,63,0.405,0.968,6,-2.425,1,0.0669,0.000918,6.25e-06,0.366,0.509,194.957,214245,4
131,THE YELLOW MONKEY,Changes Far Away - 2022 Remaster,3IRnooud07jFkCa1oEO1Km,18,0.315,0.635,0,-4.622,1,0.0282,0.072,0.000127,0.0816,0.585,102.012,240520,3
132,Ado,踊,0871AdnvzzSGr5XdTJaDHC,67,0.709,0.962,1,-0.753,1,0.106,0.153,1.77e-06,0.621,0.767,128.013,210347,4
133,Norah Jones,Seven Years,3B26XqOpSrxKSPKWJCVlwF,32,0.592,0.193,7,-13.876,1,0.0334,0.955,0.00508,0.117,0.383,127.381,145414,4
134,V,Christmas Tree,0YV6ib5DEi04g6DzeFig3O,63,0.423,0.388,5,-8.364,1,0.039,0.673,2.17e-05,0.124,0.203,138.813,209947,4
135,saturn,2022 my year fr,4u2gL1g6AgF2vlAURETOXi,31,0.429,0.834,0,-6.61,0,0.261,0.0106,0.0,0.163,0.664,179.932,110517,4
136,Official HIGE DANdism,Anarchy,0ZPYvSJZ1feuhUcG17PHqP,63,0.7,0.716,11,-7.834,0,0.0307,0.000311,0.00254,0.101,0.471,133.968,268431,4
137,INMBeatz,New Year New Me,2lGrMaDv56BVIxNrgT5GY7,21,0.726,0.371,1,-17.857,0,0.0722,0.021,0.664,0.114,0.0799,141.059,60966,4
138,BTS,For Youth,4JzCFEc3O2UEdjKzevvFH5,85,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,264481,3
139,Elton John,Cold Heart - PNAU Remix,4Rfyd7l9GhfpOvpKAaVg8S,23,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
140,Masaki Suda,惑う糸,340zG7IKPHFjEFgzq9MFYx,64,0.667,0.783,11,-4.22,1,0.026,0.00443,1.61e-06,0.0897,0.685,105.0,273613,4
141,Gaana Subash,Happy New Year 2022,7CT6n85AuowzdPKFl9cXM4,15,0.771,0.959,9,-4.118,0,0.294,0.31,0.0,0.17,0.712,81.526,260058,4
142,HIRAIDAI,HOPE,4xfYAFR8CCXdFr9mxPmHXL,63,0.691,0.649,3,-5.61,1,0.173,0.275,0.0,0.0647,0.69,177.959,185991,4
143,Kyau & Albert,Where Did All the Years Go (In Bloom 2022),1U7isoIVpgTXGjIUi5LUEf,16,0.555,0.771,2,-11.511,0,0.0383,0.00204,0.136,0.36,0.269,126.358,197855,3
144,Yuuri,ミズキリ,6T8eKlvqWuPKJT7euIqoxX,64,0.446,0.706,1,-5.447,1,0.033,0.163,0.0,0.11,0.445,179.906,208400,4
