Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
391,QUEENDOM,チキチキバンバン,7xm0KJMfeaJQmQdDxAipiY,63,0.623,0.987,4,-2.03,0,0.128,0.0469,0.0,0.317,0.502,128.047,202500,4
142,HIRAIDAI,HOPE,4xfYAFR8CCXdFr9mxPmHXL,63,0.691,0.649,3,-5.61,1,0.173,0.275,0.0,0.0647,0.69,177.959,185991,4
529,Ado,うっせぇわ,5QS01sq07pThdktoNUxXRZ,63,0.526,0.976,11,-1.084,0,0.0799,0.00459,0.0,0.102,0.554,178.129,206893,4
136,Official HIGE DANdism,Anarchy,0ZPYvSJZ1feuhUcG17PHqP,63,0.7,0.716,11,-7.834,0,0.0307,0.000311,0.00254,0.101,0.471,133.968,268431,4
134,V,Christmas Tree,0YV6ib5DEi04g6DzeFig3O,63,0.423,0.388,5,-8.364,1,0.039,0.673,2.17e-05,0.124,0.203,138.813,209947,4
184,(G)I-DLE,TOMBOY,6WYsZJDfUOftGVji74yYSU,63,0.756,0.871,1,-2.414,0,0.0935,0.00961,0.0,0.0918,0.644,124.04,174387,4
146,MAISONdes,Cheers,1BjNUu608nOEvEtMETFnlB,63,0.626,0.784,0,-4.587,1,0.0529,0.0437,2.07e-05,0.204,0.705,97.844,232867,4
524,ENHYPEN,Always,6bLZ6JV1mAGz4xfS1ZwOMV,63,0.804,0.771,7,-3.836,1,0.059,0.0466,0.0,0.109,0.73,110.014,186873,4
172,NiziU,ASOBO,4rdmyc70mJQEfhKeiFDLFZ,62,0.853,0.719,10,-4.714,1,0.0676,0.0812,0.00151,0.241,0.79,118.007,181078,4
157,Macaroni Empitsu,たましいの居場所,5D16E22MJJyKesh9PrJf2L,62,0.643,0.827,0,-4.531,1,0.0357,0.223,0.0,0.0848,0.731,103.434,201535,4
149,BE:FIRST,Betrayal Game,2M4Xpm2QsuyRsqq0AieWtv,62,0.592,0.538,2,-6.773,0,0.169,0.356,0.0,0.146,0.906,113.875,224280,4
170,Creepy Nuts,2way nice guy,1Qjs2fvFjBWBIS3puCHK9W,62,0.769,0.939,11,-5.506,0,0.0491,0.00304,0.0,0.268,0.806,130.073,225667,4
178,Fujii Kaze,まつり,3OdkC5pG8vc26S26qHyBo8,62,0.663,0.731,1,-7.335,1,0.0338,0.00892,0.0502,0.293,0.356,97.025,225920,4
292,Ado,阿修羅ちゃん,0cN6iBeCR7NgeBeTIKjLml,61,0.629,0.945,1,-3.957,0,0.161,0.0712,0.0,0.312,0.686,156.048,195080,4
192,Yuuri,ピーターパン,5MLIlPL6L8RVqL7YSpFdgr,61,0.633,0.889,11,-4.285,0,0.0482,0.0251,0.0,0.11,0.448,111.977,214213,4
194,Ryokuoushoku Shakai,キャラクター,1WkMPKhw6w2PAaZyKpITNi,61,0.65,0.913,5,-2.147,1,0.0758,0.15,0.0,0.345,0.594,124.025,249427,4
202,asmi,PAKU,6nYezkgAePhAmnxNTQRsLV,61,0.84,0.889,7,-4.968,1,0.125,0.296,3.52e-05,0.344,0.961,124.04,125771,4
190,MONGOL800,愛彌々,4BQR7j2Wg0lkwfPq9O14gZ,61,0.319,0.875,0,-3.473,1,0.0819,0.00787,0.0,0.299,0.584,84.57,308809,4
245,『ユイカ』,恋泥棒。,0JnOpiUieuk9SdRv7Fkw2P,61,0.71,0.718,11,-6.379,1,0.0257,0.0483,3.26e-06,0.0881,0.813,109.054,219643,4
221,Ado,逆光 - ウタ from ONE PIECE FILM RED,5GXYKnnzBlHvrzBQ5WoxME,61,0.563,0.901,10,-3.926,0,0.11,0.000382,4.81e-06,0.388,0.684,145.004,237862,4
162,Aimyon,双葉,0IAX0LbVY440WWJyOyuLw7,61,0.6,0.794,5,-3.322,1,0.0323,0.0387,5.02e-06,0.414,0.664,111.984,277223,4
263,Macaroni Empitsu,星が泳ぐ,0MnPdlWm7MSSUnEamZp5lX,61,0.566,0.743,0,-5.377,1,0.0361,0.0265,0.0,0.329,0.649,94.973,239079,4
180,Fujii Kaze,damn,7dNxxkapvf5eRkw24PHSpy,61,0.707,0.759,7,-7.955,1,0.0329,0.00346,3.82e-05,0.116,0.646,129.982,259027,4
225,yama,MoonWalker,4ELSoW5BZzs7rV8ac0Cpit,61,0.545,0.857,11,-3.393,1,0.0635,0.0251,0.0,0.044,0.639,133.018,214009,4
346,Ado,ギラギラ,2mSRPQsUDIXJFfo3CpKJBA,61,0.657,0.862,7,-4.163,1,0.0543,0.0492,0.0,0.0898,0.724,95.994,276080,4
168,汐れいら,センチメンタル・キス - Acoustic ver.,534CTO8v2KnPNSMJ0jI3W3,61,0.696,0.327,6,-6.041,1,0.0265,0.725,0.0,0.0965,0.394,76.984,326104,4
182,Stray Kids,MANIAC,7BDHDiidJ8WV349p3HTxTV,60,0.744,0.8,1,-2.63,1,0.266,0.181,0.0,0.0746,0.722,89.925,182758,4
188,O.A.KLAY,Cinema,2U1ld52xRDaUSRWM8EZreg,60,0.784,0.826,7,-5.282,1,0.0389,0.506,0.0,0.138,0.764,124.044,177687,4
503,Aimer,朝が来る,6Mq4q5OIMO25vBsKpFdlnH,60,0.335,0.92,1,-4.086,1,0.0986,0.00118,0.0,0.354,0.246,83.117,294933,4
208,Ryokuoushoku Shakai,陽はまた昇るから,43PlsJn27zRG2KjpL12eb7,60,0.576,0.944,6,-2.409,1,0.06,0.0541,0.0,0.334,0.727,142.04,266373,4
186,Penthouse,恋標,1KjHPv0YOx8YgxV8nkChtk,60,0.679,0.808,1,-5.067,1,0.123,0.165,0.0,0.38,0.834,97.866,212419,4
370,Ado,永遠のあくる日,5WaSJKCZhmRZ8Pxn1oTjA5,60,0.556,0.387,9,-5.883,1,0.0287,0.49,0.0,0.155,0.259,145.013,246333,3
234,Yuuri,かくれんぼ,0tMqllhrXe8CWOosrCD1fE,60,0.667,0.534,9,-6.963,1,0.0606,0.479,0.0,0.124,0.308,156.054,271427,4
229,Ayumu Imazu,Tangerine,5BM1h0qH0CVWMjw0RIQtbn,60,0.746,0.7,5,-4.785,0,0.147,0.0454,0.0,0.118,0.693,117.012,202055,4
227,sumika,Simple,2VUQEplQ848X6lFLzBxQT8,60,0.685,0.845,5,-6.188,1,0.0866,0.0195,0.0,0.0933,0.433,130.029,285832,4
